HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
48095,292.3341026,-16.82744312,,Chamaeleon,F,5,0.483,3.47,3.65,6.8,6388.3,1.524,1.28
48244,291.3396706,-15.57082386,,Carina,A,5,0.086,1.66,18.78,7.93,9468,2.02,2.41
49612,292.6842007,-15.32280973,,Carina,F,5,0.584,3.35,4.08,9.38,6297,2.415,1.23
49567,292.6645452,-15.34183471,,Carina,A,3,0.311,2.94,5.51,8.7,7566,1.597,1.75
49913,292.6694725,-14.87177781,,Carina,G,5,0.628,4.53,1.41,8.49,5994,1.104,1.1
49480,292.1586008,-14.8123107,,Carina,A,5,0.199,2.91,5.68,9.35,8225,2.232,2.02
49499,292.0799107,-14.68386952,,Carina,G,,0.526,4.46,1.43,9.7,6265,1.618,1.22
50350,292.9540007,-14.63264821,,Carina,G,5,0.642,3.72,3.02,8.54,6139,1.961,1.16
48661,291.2365303,-14.88888777,,Carina,G,5,0.761,5.03,0.91,9.3,5689.9,1.01,1.01
48941,290.9044438,-14.07799035,,Carina,F,5,0.448,3.67,2.9,7.85,6472,1.379,1.32
49028,290.8218564,-13.84761876,,Carina,F,3,0.402,2.72,6.87,8.03,6781,2.133,1.45
29228,295.7055055,-28.11436855,,Mensa,F,5,0.409,2.95,5.56,8.51,6944,2.005,1.52
32351,294.9494978,-27.09680199,,Mensa,F,5,0.401,3.06,5,7.6,6875,1.482,1.49
34084,294.1309359,-26.41980023,,Mensa,F,4,0.432,2.74,6.77,9.5,6787,2.605,1.46
29960,295.0546637,-27.91687245,,Mensa,A,5,0.33,1.86,15.7,8.16,7504,2.792,1.73
32460,294.1544816,-27.023679,,Mensa,F,5,0.537,3.47,3.69,8.61,6218,1.799,1.2
38017,293.9451737,-24.80828034,,Chamaeleon,A,,0.16,2.21,10.95,6.79,8398,1.692,2.08
35056,293.2181657,-25.89535182,,Mensa,A,4,0.288,2.85,5.99,8.5,7715,1.546,1.82
34132,293.455668,-26.32125654,,Mensa,A,5,0.123,2.32,9.91,8.67,8805,1.857,2.21
36187,292.8927774,-25.34861902,,Mensa,G,5,0.618,4.9,1,9.15,5909,1.004,1.07
29155,294.1703731,-28.298706,,Mensa,B,4,-0.015,1.16,35.96,7.61,11798,2.256,3.13
29076,294.0464092,-28.34591856,,Mensa,F,4,0.313,1.55,19.9,7.2,7642,3.583,1.79
28849,293.9992489,-28.44271175,,Mensa,A,5,0.035,1.93,15.61,8.29,10322,1.856,2.66
29792,293.551154,-28.09120376,,Mensa,G,5,0.77,5.68,0.54,9.39,5504,0.834,0.97
28993,292.943321,-28.49202514,,Mensa,A,4,0.317,1.23,26.77,7.12,7652,3.165,1.79
30936,292.3496567,-27.62634059,,Mensa,A,5,0.218,1.93,14.08,8.66,8468,1.745,2.1
30887,292.2891416,-27.65027064,,Mensa,F,4,0.474,2.06,12.82,8.91,7023,3.562,1.55
34744,291.8378829,-25.81272041,,Mensa,A,5,0.297,2.88,5.85,8.9,7851,1.958,1.87
35937,292.1776596,-25.30873483,,Mensa,M,,1.274,7.75,0.13,10.12,4146,0.757,0.65
37231,291.5442185,-24.49903872,,Chamaeleon,F,4,0.535,2.9,6.06,8.96,6584,2.458,1.37
35661,291.9031139,-25.38624761,,Mensa,G,4,0.632,4.73,1.18,9.11,5899,1.136,1.07
